RAW_WORD,NORMALIZED_WORD,FREQUENCY,RANK,MEANING_ID,WORD_TYPE,IS_KRAMA
bajing,BAJING,13,1341,tupai,Kata Benda,
gudheg,GUDHEG,13,1342,masakan terbuat dari nangka muda,Kata Benda,
jangkar,JANGKAR,13,1343,"memanggil nama, tanpa sebutan penghormatan",Kata Kerja,
blorok,BLOROK,13,1344,bintik-bintik pada bulu ayam; bulunya berbintik hitam putih (untuk ayam betina),Kata Sifat,
ulem,ULEM,13,1345,undang,Kata Kerja,
ladak,LADAK,13,1346,nakal,,
pancer,PANCER,13,1347,tengah,,Krama
wadhag,WADHAG,13,1348,jasmani,Kata Benda,
batang,BATANG,13,1349,tebak,Kata Kerja,
kimpul,KIMPUL,13,1350,ubi talas,Kata Benda,
tungkak,TUNGKAK,13,1351,tumit,Kata Benda,
branta,BRANTA,13,1352,asmara,Kata Benda,
dahuru,DAHURU,13,1353,huru-hara,Kata Benda,
kempès,KEMPES,13,1354,kempes,,
gaman,GAMAN,13,1355,senjata,Kata Benda,
cathok,CATHOK,13,1356,"penjepit, ikat pinggang",,
wiyosan,WIYOSAN,13,1357,kelahiran,Kata Benda,
kèpèt,KEPET,13,1358,kotoran di mata ketika bangun tidur (lihat lodhok),,
klentheng,KLENTHENG,13,1359,biji kapok randu,,
tambak,TAMBAK,13,1360,tebat,,
rèncèk,RENCEK,13,1361,ranting pepohonan untuk bahan bakar,,
udani,UDANI,13,1362,telanjangi,Kata Kerja,
anggarbini,ANGGARBINI,13,1363,hamil,Kata Kerja,
cakepan,CAKEPAN,13,1364,lirik lagu,Kata Benda,
ageman,AGEMAN,12,1365,pakaian,Kata Benda,
ribet,RIBET,12,1366,banyak hambatan,,
umpak,UMPAK,12,1367,"alas tiang rumah, biasanya terbuat dari batu",Kata Benda,
anggon,ANGGON,12,1368,tempat,Kata Kerja,
wijik,WIJIK,12,1369,mencuci tangan atau kaki,Kata Kerja,
welèh,WELEH,12,1370,balasan setimpal,,
angop,ANGOP,12,1371,menguap,Kata Kerja,
dubang,DUBANG,12,1372,ludah merah/ludah orang yang makan sirih,Kata Benda,
kotang,KOTANG,12,1373,BH,Kata Benda,
gething,GETHING,12,1374,benci,Kata Kerja,
bahu,BAHU,12,1375,100 m²,Kata Benda,
bajingan,BAJINGAN,12,1376,"bajingan (penjahat), sopir gerobak",,
wewaler,WEWALER,12,1377,pantangan,Kata Benda,
nglimpé,NGLIMPE,12,1378,mencari kelengahan seseorang,,
babaran,BABARAN,12,1379,"bersalin, melahirkan",Kata Kerja,
wayuh,WAYUH,12,1380,diduakan (oleh suami),Kata Kerja,
gendhuk,GENDHUK,12,1381,panggilan untuk anak perempuan,Kata Benda,
mlesat,MLESAT,12,1382,meluncur dengan sangat cepat,,
andika,ANDIKA,12,1383,anda,Kata Benda,
omber,OMBER,12,1384,luas,Kata Sifat,
tanem,TANEM,12,1385,tanam,Kata Kerja,Krama
ambyuk,AMBYUK,12,1386,menjatuhkan diri,Kata Kerja,
banger,BANGER,12,1387,bau busuk (misalnya dari air keruh),Kata Sifat,
