Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
320,obah,bergerak,Kata Kerja,,,,,,
321,ula,ular,Kata Benda,,,,,,
322,resik,bersih,,,,,,,
323,ada-ada,inisiatif,Kata Benda,,,,,,
324,alon,pelan,Kata Sifat,,,,,,
325,bagus,tampan,Kata Sifat,,,,,,
326,lelakon,cerita hidup,,,,,,,
327,séda,mati (Jawa halus),,,,,,,
328,omong,"cakap, bicara",Kata Kerja,,,,,,
329,amrih,"agar, supaya",Kata Sambung,,,,,,
330,babar,menjadi banyak,Kata Sifat,,,,,,
331,weteng,perut,Kata Benda,,,,,,
332,ijo,hijau,Kata Sifat,,,,,,
333,jero,dalam,Kata Sifat,,,,,,
334,dumunung,berada; bertempat,Kata Kerja,,,,,,
335,wana,hutan,Kata Benda,,,,,,
336,sedulur,saudara; satu keluarga,,,,,,,
337,atos,keras,Kata Sifat,,,,,,
338,dhemen,suka,Kata Kerja,,,,,,
339,kendel,berani,,,,,,,
340,emoh,tidak mau,Kata Kerja,,,,,,
341,mripat,mata,Kata Benda,,,,,,
342,sekar,bunga,Kata Benda,,,,,Krama,
343,abdi,pembantu,Kata Benda,,,,,,
344,papat,empat,Kata Benda,,,,,,
345,adus,mandi,Kata Kerja,,,,,,
346,mandheg,berhenti,Kata Sifat,,,,,,
347,woh,buah,Kata Benda,,,,,,
348,bekti,bakti,Kata Benda,,,,,,
349,baya,buaya,Kata Benda,,,,,,
350,anane,adanya,Kata Keterangan,,,,,,
351,kutha,kota,Kata Benda,,,,,,
352,getih,darah,Kata Benda,,,,,,
353,medal,pergi (ke luar),,,,,,Krama,
354,bungah,"bahagia, senang hati, gembira",Kata Sifat,,,,,,
355,lenggah,duduk,,,,,,Krama,
356,gulu,leher,Kata Benda,,,,,,
357,sinau,Belajar,,,,,,,
358,mari,sembuh; sudah; selesai,,,,,,,
359,mili,mengalir,Kata Kerja,,,,,,
360,kakehan,kebanyakan,,,,,,,
361,tamba,Obat,Kata Benda,,,,,,
362,garwa,suami/istri,Kata Benda,,,,,Krama,
363,kuwat,kuat,,,,,,,
364,alit,kecil,Kata Sifat,,,,,Krama,
365,wingi,kemarin,Kata Benda,,,,,,
366,krambil,kelapa,Kata Benda,,,,,,
367,tentrem,tentram,Kata Sifat,,,,,,
368,dhawuh,"ucapan, perintah",,,,,,Krama,
369,angsal,"boleh, dapat, mendapatkan",Kata Kerja,,,,,Krama,
370,asor,kalah,Kata Keadaan,,,,,,
371,reged,kotor,Kata Sifat,,,,,,
372,kakang,kakak (laki-laki),Kata Benda,,,,,,
373,dalu,malam,Kata Benda,,,,,,
374,asma,nama,Kata Benda,,,,,Krama,
375,nyang,"tawar, nego",,,,,,,
376,garing,kering,Kata Sifat,,,,,,
377,gedhang,pisang,Kata Benda,,,,,,
378,sebab,karena,,,,,,,
379,randha,Janda,Kata Benda,,,,,,
380,jarit,kain panjang,Kata Benda,,,,,,
381,arta,uang,Kata Benda,,,,,,
382,wangsulan,"kembalian; umpan balik, jawaban",Kata Benda,,,,,Krama,
383,éyang,kakek,Kata Benda,,,,,,
384,owah,gila,Kata Kerja,,,,,,
385,cekak,"pendek, pendek sekali; tidak mencukupi; ukurannya tidak memadai;",Kata Sifat,,,,,,
386,wangsul,pulang,Kata Kerja,,,,,Krama,
387,lambé,bibir,Kata Benda,,,,,,
388,cangkem,mulut,Kata Benda,,,,,,
389,asu,anjing,Kata Benda,,,,,,
390,asih,"kasih, sayang",Kata Benda,,,,,,
391,bubar,bubar; selesai,Kata Sifat,,,,,,
392,anèh,aneh,Kata Sifat,,,,,,
393,wedhus,kambing,Kata Benda,,,,,,
394,dhahar,makan,Kata Kerja,,,,,Krama,
395,bodho,bodoh,Kata Sifat,,,,,,
396,jaré,"kata, ucap; kira",Kata Kerja,,,,,,
397,kuna,kuno,Kata Sifat,,,,,,
398,bunder,"bundar, bulat",Kata Sifat,,,,,,
399,driji,jari,Kata Benda,,,,,,
400,wiji,biji; benih,Kata Benda,,,,,,
401,amung,hanya,Kata Keterangan,,,,,,
402,sida,"jadi, berlanjut",,,,,,,
403,ajeg,tetap,Kata Keadaan,,,,,,
404,wulu,bulu,Kata Benda,,,,,,
405,sirah,kepala,Kata Benda,,,,,,
406,enjing,pagi,Kata Benda,,,,,,
